text,source
"Problem: Making AI fair and ethical is tough due to its reliance on various factors like context, use, and system type. Biases can creep in at any stage of AI's lifecycle, from creation to use, needing careful attention. We lack a standard way to address fairness at all these stages. Gap: Though AI fairness is widely studied, a comprehensive strategy is lacking. Most researchers focus only on a few aspects of AI model creation, ignoring the entire lifecycle. Peer reviews often overemphasize biases in AI models, neglecting other crucial stages.",ai
"As AI agents are increasingly used in unpredictable situations, they must be adaptable and creative to complete their tasks. To ensure this flexibility, AI needs some autonomy to choose its approach. However, with AI's widespread use, ethical considerations arise. AI should adhere to ethical principles, like fairness, to guide its actions. Balancing AI's autonomy with ethical constraints remains a significant challenge.",ai
"Challenge: Deploying ethical AI at scale for real-world use faces hurdles beyond technical issues. Regulatory inconsistencies, conflicting business goals, data quality problems, development processes, and large-scale integration create unique ethical risks. Current research doesn't sufficiently address these practical ethical concerns. To build ethical AI in practice, we need a comprehensive approach considering the full operational context, and researchers should broaden their focus.",ai
"Artificial Intelligence (AI) is widely used across various fields, presenting ethical challenges throughout its lifecycle. Many principles and guidelines for ethical AI have been established, but practical guidance for libraries using AI-powered systems is lacking. We present adaptable approaches from other contexts to help libraries plan, evaluate, and audit the ethics of AI in their information services, at all stages of software development.",ai
"Advances in machine learning (ML) have boosted AI's capabilities, making it widespread across sectors. Yet, AI's growing influence, particularly in sensitive areas like healthcare and security, raises ethical concerns. Users demand better governance for ethical AI. This study examines the ECCOLA method for developing ethical AI to see if it promotes governance through ethical practices during development. Results show that ECCOLA effectively enables AI governance in corporate practices, but some improvements are needed.",ai
"The Montreal AI Ethics Institute's 4th report, ""The State of AI Ethics"", summarizes key AI ethics developments from Jan 2021. It's designed for various stakeholders, from tech experts to policymakers, to stay updated. The report covers four main themes - Ethical AI, Fairness & Justice, Humans & Tech, and Privacy - through summaries and expert commentary. It also features exclusive insights from leading AI ethics experts worldwide.",ai
"Machine learning, now common in society, may inadvertently perpetuate data biases. This study suggests creating synthetic biased data to understand and test this issue. We discuss how these biases relate to moral and justice principles. Using our synthetic data generator, we experiment with different bias combinations, measuring their impact on performance and fairness in both unaltered and bias-mitigated machine learning models.",ai
"Recent focus: Academics, governments, and industries are exploring sound metrics for AI. Various reports and policies now emphasize measuring AI impacts, especially in Machine Learning. This paper suggests using AI's capabilities to improve AI measurement. It trains a model to categorize publications on ethical AI issues.",ai
"Machine learning tools increasingly influence our lives, but they can unfairly favor certain groups based on factors like sex or race, a problem known as algorithmic discrimination. This bias can stem from the data used to train these models. To tackle this, researchers have been identifying and mitigating bias in AI systems.",ai
"The Montreal AI Ethics Institute's third report, ""The State of AI Ethics,"" summarizes key developments in AI ethics since late 2020. It's designed for a broad audience, from AI specialists to policymakers, to understand the field's rapid changes. The report covers topics like algorithmic bias, discrimination, ethical AI, job impacts, misinformation, privacy, risk, social media, and more. It includes exclusive content from leading AI ethics experts worldwide. Notably, it features ""The AI Ethics Landscape,"" a unique visual guide to AI ethics.",ai
"Artificial Intelligence (AI) is rapidly reshaping technology, empowering data-driven choices and autonomous decisions. Unique among technologies, AI's decision-making capability raises significant ethical and governance concerns. It presents risks like autonomous weapons, job displacement, inequality, biased outputs, privacy breaches, and deepfakes. To mitigate these, promoting social diversity, equity, and inclusion in AI is crucial. Sustainability and AI intersect complexly, with many organizations (government, corporate, non-profits, charities, NGOs)",ai
"As AI and machine learning become prevalent in environmental sciences, it's crucial to discuss their ethical use. Other fields have shown that AI, though initially well-intended, can have unforeseen societal impacts, like racial bias in justice or economic inequality. The misconception that environmental sciences are immune to these issues is prevalent, as data is often seen as objective observations and algorithms as neutral math. However, this overlooks how AI systems can inadvertently perpetuate existing biases or create new ones, such as favoring certain species or regions in conservation efforts. Therefore, it's vital to consider the ethical implications and ensure",ai
"Virtue ethics, a broad ethical framework, has been widely studied and advocated, but no version has been robust enough for machine ethics - teaching ethics to machines. We're addressing this by developing a preliminary formal model for a crucial aspect of virtue ethics: learning moral virtues by observing role models. Our approach draws on an existing computational logic used to model other complex systems.",ai
"As demand grows for ethical AI, its misuse escalates, despite available guidelines. We suggest a root cause: AI developers face a social dilemma, hindering wide adoption of ethical practices. We define this dilemma and explain why addressing it is crucial to resolve the current ethical crisis in AI development. We propose professionalizing AI development, using medicine as a model, to overcome this social dilemma.",ai
"Social psychology research shows that people's appearance-based judgments about others' personalities aren't accurate. Despite this, researchers and companies use computer vision to predict ""employability"" based on appearance. We investigated if advanced face processing technology can learn human appearance biases. Using FaceNet, a popular face recognition tool, we trained a model on people's first impressions of others' personalities. Our results show that FaceNet features can predict human appearance bias scores for altered faces, but not for randomly generated ones.",ai
"Recent AI, Machine Learning, and Robotics advancements spark ethical concerns, with experts questioning impacts on jobs, society, and the environment. This study examines ethics-related research in top AI, ML, and robotics conferences and journals over time. We analyzed paper content, finding that ethics-related terms have become more prominent.",ai
"Machine ethics, crucial for safe AI, mainly uses deontological and utilitarian theories. Virtue ethics, though promising, lacks practical application due to difficulties in formalizing, coding, and teaching moral dilemmas to AI. We suggest a new approach.",ai
"Digitalization and smart systems are integral to our daily lives, with AI and autonomous systems leading software development. While these technologies have rapidly evolved, their full implications, particularly in ethics and trust, were not fully anticipated during development. Examples include banking, retail, and transportation, with the maritime industry also exploring autonomous systems in fairways and ports. AI ethics, having advanced significantly in the last decade, is now being integrated into AI development.",ai
"This article reviews and compares critiques of current fairness methods in machine learning (ML) from various non-computing fields like philosophy, feminist studies, and anthropology. It combines insights to understand how dominant ML fairness approaches can help or hinder societal equality. The article explores nine key themes where these disciplines intersect, such as how 'fairness' is defined and how problems are formulated for AI systems. It also examines how simplifying complex realities into mathematical models can affect AI tool performance and bias.",ai
"Automated testing is widely used in software development to catch regressions. When tests are numerous, developers pick the most crucial ones. AI can aid this process (AI-RTS), but it raises ethical concerns. Though AI ethics are generally discussed, AI-RTS ethics are under-explored. From our literature review and industrial AI-RTS tool development, we've identified three key challenges (responsibility attribution, biased decisions, and lack of user involvement) and three mitigation strategies (explainable AI, human oversight, and diverse perspectives). We also offer a checklist for ethical AI-RTS",ai
"In AI's value alignment (VA) development, understanding how values interact with facts is crucial. Future VA systems must combine ethical reasoning and empirical observation. This article highlights two overlooked issues: AI designers often mistakenly infer ""ought"" from ""is,"" a fallacy known as ""naturalistic fallacy.""",ai
"In the rising AI economy, AI's influence spans healthcare, business, and daily life. AI systems have matched or exceeded human experts in many tasks. However, they can make mistakes, harbor biases, be sensitive to data quality, and lack transparency, leading to reduced trust and adoption issues. Recent incidents like self-driving car accidents, racial biases in AI systems, and flawed medical decisions have highlighted these challenges, discussed widely in scientific and general media.",ai
"Computer vision, a swiftly advancing field, faces challenges like increased CO2 emissions and data privacy concerns due to new neural network designs. To tackle these issues, we propose P4AI, a novel ethical framework for AI, and suggest its use to provide practical solutions to the CV community.",ai
"Artificial Intelligence (AI) is increasingly influential in critical areas like facial recognition, crime prediction, and healthcare diagnostics. Yet, its societal impact has not been thoroughly examined, particularly its potential to disadvantage certain groups. For example, face recognition systems often misidentify people of color, especially dark-skinned women. A 2016 investigation found that AI tools used to predict recidivism in the US are biased against African Americans. Other studies suggest similar biases in AI systems, highlighting the urgent need for thorough examination and mitigation of these issues.",ai
"The Scottish Government sought public feedback on its AI strategy in January and February 2020. The Montreal AI Ethics Institute (MAIEI) later reviewed these documents and shared its response on June 4, 2020. MAIEI's review explores several aspects of the strategy, including the proposed AI definition, its human-centered approach, ensuring equal AI benefits, the overall vision, Scotland's AI environment, key strategic themes, and boosting public trust through ethical AI systems. Additionally, MAIEI recommends extending the strategy to consider the use and processing of biometric data.",ai
"The Montreal AI Ethics Institute's (MAIEI) report highlights key AI ethics advancements from mid-2021. It focuses on the AI ecosystem, privacy, bias, social media, AI design, laws, trends, and innovative topics. Two notable AI applications explored are AI-generated art influencing gender perception and the potential of AI chefs in food preparation.",ai
"Benchmarks are crucial for assessing progress in AI, with existing ones covering tasks like question answering and facial recognition. However, AI ethics, a growing research area, lacks such benchmarks. This paper, drawing from moral philosophy, argues that creating an 'ethicality' benchmark is unfeasible. Given the prevalence of applied AI, alternative methods are needed to evaluate an AI system's ethics.",ai
"Facial beauty prediction (FBP) seeks to create an automated tool for assessing facial attractiveness. Previous models' results closely matched human ratings, which can be biased. AI can inherit human biases, like racism and discrimination, so identifying data skews is crucial. Developing unbiased training data and AI algorithms is a new challenge. We propose an Unbiased Convolutional Neural Network for FBP, aiming to reduce aesthetic judgement biases, even if high-level attractiveness ratings are possible.",ai
"Artificial Intelligence (AI) is rapidly spreading in society and economy, with more planned for the future. It's becoming a common part of our digital lives. However, there's growing worry about AI's problematic and dangerous uses, especially in critical fields like military, healthcare, and justice. This has sparked global discussions on AI ethics, with diverse actors debating how to ensure AI systems follow ethical standards.",ai
"Continuous Model Monitoring Systems: These systems, introduced due to past AI/ML model failures and new regulations, constantly track deployed ML model performance and provide explanations for each prediction. They aid developers in identifying issues causing model performance problems. We introduce Quantile Demographic Drift (QDD), a new bias measurement metric that uses quantile binning to compare prediction distributions across subgroups. QDD is suitable for continuous monitoring, avoids statistical limitations of traditional bias metrics, and doesn't require outcome labels, which may not always be available.",ai
"Artificial Intelligence (AI) is widely adopted in smart systems, but it raises ethical concerns. Many guidelines aim to ensure AI promotes well-being, but their implications are debated. To understand this better, we surveyed 99 AI practitioners and lawmakers from 20 countries across five continents. This is the first study to gather perceptions from both groups, to our knowledge.",ai
"The Montreal AI Ethics Institute's Q2 2021 report highlights key advancements in AI ethics, focusing on ""Environment and AI"", ""Creativity and AI"", and ""Geopolitics and AI"". It includes a unique article, ""Critical Race Quantum Computer"", using quantum physics to explore human characteristics and interactions. The report also offers insights on teaching AI ethics, sociology's role in AI ethics, and practical organizational challenges in implementing AI ethics. The institute aims to showcase global scholars working on AI ethics.",ai
"A multidisciplinary group, assembled by MAIEI in early 2021, delved into significant AI ethics issues. They discussed topics like bias, privacy, and accountability, exploring each from industry, civil society, academia, and government viewpoints. Led by MAIEI staff, they thoroughly debated these topics, leading to the comprehensive report you're reading. This report provides in-depth analysis, evaluates past efforts, and suggests future actions to advance AI ethics.",ai
"AI systems, now ubiquitous, influence society significantly. Their decisions, impacting everyone, raise human rights concerns. Thus, it's crucial to integrate ethical and legal principles into AI design, training, and deployment to ensure benefits align with societal good. This survey explores AI bias, covering technical challenges and solutions, and suggests future research grounded in legal frameworks, focusing on data-driven systems.",ai
"We present a method to evaluate a language model's understanding of fundamental moral concepts. We've created the ETHICS dataset, a new benchmark covering justice, well-being, duties, virtues, and everyday morality. Models predict moral judgments for varied text scenarios, needing to link world knowledge to values. This could help guide chatbot responses or regularize open-ended learning agents. Our tests with ETHICS show current models can predict some human ethical judgments, but there's still room for improvement. Our work suggests we can advance machine ethics now, bringing us closer to AI aligned with human values",ai
"The ethics of algorithms is gaining attention in fields like AI, social science, and law. The key challenge is teaching machines to understand and respect human values. This paper suggests studying how humans have defined values in professional ethics codes, and using 'declarative decision-theoretic ethical programs' (DDTEPs) to translate these into machine-readable rules. This makes ethical decision-making by machines more understandable and accountable. The paper demonstrates this with simple examples and real-world scenarios like library archiving.",ai
"Recent advancements suggest that AI ethics auditing could significantly improve AI's practical implementation. We present three key points: First, auditing can enhance decision-making, boost user satisfaction, stimulate growth, aid law creation, and mitigate human suffering. Second, successful auditing should be ongoing, consider systems holistically, and align with public policies. Lastly, we discuss challenges associated with this approach.",ai
"Language data and AI models can exhibit biases, such as racial, religious, or gender biases. When trained on biased data, these models may lack explainability, impact user decisions, and exacerbate societal biases, raising significant ethical concerns. This study aims to understand how AI systems absorb biases from data and create discriminatory, unexplained outcomes. It explores how racial bias in datasets affects individuals' understanding of system outputs. The experiment involves studying the influence of racial bias features in language datasets on model outcomes, using a combination of research methods.",ai
"Machine learning (ML) is now widely used across various professions, but most studies on ML practitioners focus on big tech companies and academia due to researchers' easier access to these groups. This leads to a bias in the findings, as it excludes a broader, less-resourced ML community, such as those working at startups, non-tech companies, or in the public sector. These practitioners face similar ML development challenges and ethical issues as their big tech counterparts, but they also encounter additional, under-researched obstacles like deploying ML with limited resources, higher existential risk, and lack",ai
"In machine learning models like neural networks, bias terms are learnable parameters, similar to weights. They're believed to boost the networks' ability to tackle computer vision tasks. However, for certain image classification tasks, our research shows that biases can be omitted. By understanding the natural distribution of images and desired model properties, zero-bias neural networks can perform as well as biased ones in practical scenarios.",ai
"Scientists use text-based codes (like SMILES for chemicals, or sequences for proteins) to represent biochemical entities. Recent advancements in natural language processing (NLP), originally used for spoken languages, have been applied to these codes. This helps uncover hidden knowledge and build models to predict molecular properties or design new molecules. This review explores how these developments are transforming drug discovery and encourages collaboration between chemists and computer scientists.",ai
"""Cong & Liu (2014) apply complex networks to study human language, finding that it's scale-free and small-world, like many biological networks.""",ai
"This study aims to advance the development of a Quantum Natural Language Processing (QNLP) translation tool. It presents novel visual representations of the Japanese language, building on prior work that applied category theory to English. The work highlights key differences between English and Japanese to address the English language bias prevalent in current research. It also suggests topological principles for these diagrams and potential research paths. This endeavor is crucial because hundreds of languages, each reflecting unique human experiences and interactions across time and place, are integral to human survival and flourishing.",ai
"This paper explores recent progress in applying transfer learning to Natural Language Processing (NLP), using semi-supervised training. It discusses state-of-the-art methods like BERT, GPT, ELMo, and ULMFit. Traditional NLP tasks relied on rule-based and statistical methods, but these struggled to generalize across languages' vast complexities. Machine learning algorithms like Naive Bayes and decision trees, combined with models like Bag-of-Words and N-grams, were used to tackle this. However, the advent of advanced recurrent neural networks like LSTM has since improved NLP capabilities",ai
"Recent advancements in natural language processing, like GPT-2 and BERT, have brought us close to human-level performance in various language tasks. This study explores if similar methods can work in highly structured environments with strict syntax rules, like coding. We propose a machine learning model for generating Python code, built on pre-trained language models. When fine-tuned, this model significantly improves code generation, boosting BLEU score by 46% to 0.22 compared to a standard",ai
"Creating specialized benchmarks for Indian legal text is crucial for advancing AI in this unique field. Legal text differs greatly from everyday language, so tailored NLP benchmarks are needed to drive innovation in legal language processing. This will benefit both AI researchers and legal professionals. We survey current work and suggest new benchmark ideas for this area.",ai
"This paper presents improvements in two key areas of Natural Language Processing: fuzzy string matching and language classification. We introduce a new, speedy method for string tokenization in fuzzy matching, reducing processing time by 83.6% while maintaining a high recall rate (only 2.6% decrease in precision). This method works even when keywords are split across multiple words, avoiding character-by-character scanning. Additionally, we explore using metadata to boost language classification algorithms, discovering that the 'Accept-Language' header is 14% more reliable than IP addresses for predicting language",ai
"This tutorial explores the study of procedures, mainly in Natural Language Processing. A procedure is a step-by-step process to achieve a goal. It discusses methods to gather procedures (human annotation or web extraction), ways to analyze and represent them, and real-world applications.",ai
"Current natural language processing progress demands a renewed focus on understanding language's essence, i.e., its relation to the world, and tackling text summarization, crucial with growing digital text volumes, as it necessitates grasping large-scale discourse structure to identify key content.",ai
"Recent advancements in natural language processing have led to the application of statistical language models in analyzing sequential data like source code. Ray et al. (2015) demonstrated that n-gram models can predict buggy code lines by identifying ""unnatural"" lines using entropy. Building upon this, we propose using Long Short-Term Memory (LSTM) recurrent neural networks, a more sophisticated language modeling technique, to classify buggy lines based on entropy. Our method shows a slight improvement over n-gram models in this task.",ai
"Chatbots are AI-powered systems mimicking human conversation for automated customer support. They're widely adopted due to their benefits, using Natural Language Processing (NLP) and Machine Learning (ML) techniques. Despite advancements, they face challenges and limitations. This review explores recent developments, identifies key issues, and suggests future research directions.",ai
"When learning a new skill or language, you build on what you already know. For example, a skilled violinist may find learning cello easier, and a Norwegian speaker might learn Dutch faster due to lexical overlap. This study explores how learning multiple tasks and languages interacts in Natural Language Processing (NLP), the study of teaching computers to understand and generate human language.",ai
"Language documentation is time-consuming, involving transcription, glossing, and corpus management. While natural language processing (NLP) can aid this work by learning from linguists' past decisions, deciding when humans should intervene remains challenging. This project aims to streamline language documentation using NLP. It will employ two key approaches: (1) adapting NLP tools to new languages using recent advances in multilingual neural networks, and (2) developing backend APIs for efficient data management.",ai
"In recent years, reinforcement learning (RL) and bandit algorithms have been successfully applied in various fields like healthcare, finance, and robotics, with a significant impact on speech and natural language processing (NLP). Most NLP applications of RL focus on enhancing deep neural network training. However, there's vast potential in leveraging RL's unique features like reward-driven adaptability, state representations, temporal structures, and generalizability. This survey explores recent advancements in RL and bandits, demonstrating how they can be effectively used to tackle NLP problems, creating adaptive, interactive, and scalable models.",ai
"Computers aren't yet as intuitive to use as we'd like, especially in terms of interacting via speech and gestures. While speech recognition has improved, gesture recognition, especially in sign languages, lags behind. French Sign Language (FSL) recognition is our focus, given its complex lexical and syntactic structure. This work aims to advance sign language processing in the Automatic Natural Language Processing (ANLP) field.",ai
"Recent advancements in language models using recurrent neural networks and transformers have shown excellent results in tasks like part-of-speech tagging, named entity recognition, and text classification. Most models, however, are trained in languages like English, German, or Spanish. While some multilingual models include Indian languages, they often struggle to capture these languages' nuances as they're not the primary focus. Introducing HinFlair, a model pre-trained on a large Hindi-only corpus for better representation of Hindi's linguistic features. It was tested on six Hindi text classification datasets and a dependency treebank.",ai
"Current advanced language models, like KEPLMs, enhance understanding by learning from structured knowledge graphs and linguistic analysis. However, there's a gap in Chinese NLP, lacking high-quality open-source models. This paper introduces a series of new Chinese KEPLMs, CKBERT, available in different sizes. CKBERT incorporates both relational and linguistic knowledge through two innovative pre-training tasks: linguistic-aware masked language modeling and contrastive multi-hop relation modeling. Using these methods and our custom TorchAccelerator, we've pre-trained these models",ai
"This paper presents a method to convert sentences into vectors, useful for advanced language processing tasks. These vectors capture similar meanings in similar sentences. They're derived from an encoder-decoder model trained on pairs of paraphrased sentences. We show how these sentence vectors can be used for paraphrasing and summarization, making them practical for recurrent text-processing models. Our experiments show these vector representations work well for complex language tasks.",ai
"Lecture Notes Overview These notes concentrate on recent progress in neural information retrieval, highlighting systems and models that use transformer networks. Introduced by Google in 2017, transformers have excelled in natural language processing and information retrieval tasks. Unlike comprehensive textbooks on these topics, our notes aim to provide a foundational understanding of key information retrieval techniques and deep learning approaches. They are designed for a graduate-level course in Information Retrieval as part of the MSc program in Artificial Intelligence and Data Engineering at the University of Pisa, Italy.",ai
"Automating complex business processes often demands advanced tech skills. There's a growing need for 'Intelligent Process Automation' (IPA) that makes advanced automation accessible to general users. A key to this is a natural language interface. IPA targets complex workflows, but semantic parsing—translating natural language into task instructions—is still under-researched due to (1) insufficiently studied workflow grammar and (2) limited workflow datasets.",ai
"Natural Language Understanding (NLU) is a part of Natural Language Processing (NLP) that enables computers to comprehend human language. Recent advances in deep learning and pre-trained language models have significantly improved various NLU tasks. However, creating reliable datasets and not just better model structures is also crucial for enhancing NLU systems. Unlike humans, current NLU systems often struggle with out-of-domain data or challenging language elements like ambiguous or adversarial items.",ai
"This review explores the use of BERT, a prominent deep learning-based language model. It explains BERT's workings, its key applications in text analytics, comparisons with similar models, and some proprietary models. The review synthesizes data from numerous influential scientific articles published recently. It's a helpful resource for students and researchers seeking to understand the latest developments in natural language text analysis.",ai
"Recent advancements in Natural Language Processing (NLP) have been boosted by deep learning models. However, these models struggle with noisy or messy text. We've developed a new method for cleaning up such text using a pre-trained model that doesn't need further training. This method can be added to any NLP system without extra data. We've tested it on both artificially created and real-world noisy text, showing it can fix errors and improve performance in various tasks by understanding context.",ai
"Multimodal Machine Translation (MMT) combines text and image data for better translation, appealing to NLP and CV fields. Current methods struggle with affordability as they train separate models for each language pair. To address this, Multilingual MMT aims to create a shared understanding across languages using a single model. Images, being language-agnostic, can help bridge semantic gaps between languages. We introduce the Multilingual MMT task and create two new benchmark datasets for this purpose.",ai
"Recent AI advancements are poised to transform the legal field, building on a century-long foundation. This work surveys key developments in Natural Language Processing (NLP) and their impact on legal text analysis.",ai
"Identifying discourse relations automatically in text is still a complex task. Words like ""since"" or ""but"" are key clues, but current tools only use a fixed list of these. This means relations signaled by other words (AltLexes) often go undetected. Our new method uses parallel texts and lexical resources to find these hidden markers. When tested on Simple Wikipedia and Newsela, along with WordNet and PPDB, it found 91 new AltLexes.",ai
"Challenge: Identifying software vulnerabilities before they're exploited is tough. Traditional methods often fail. Solution: We treated source code as text and used advanced NLP models with transfer learning from English. Dataset: We prepared over 100,000 C language files with 123 vulnerability types from NIST NVD/SARD databases. Results: Our tests showed over 93% accuracy in detecting security vulnerabilities.",ai
"Transformers have driven significant advancements in natural language processing. Most practical applications use transfer learning. This study explores if custom tokenization during fine-tuning enhances model performance. Experiments show that combining this with a specific vocabulary initialization and fine-tuning strategy improves transfer speed and model performance. We term this process ""vocabulary transfer"".",ai
"Neural language models, translation models, and language tagging tasks use different representations of language data. To explore their similarity, we adapted a transfer learning method from computer vision. We analyzed 100 features from various networks trained on language tasks. The method uncovered a low-dimensional structure where language models and translation models connect word embeddings, syntax, semantics, and future word embeddings smoothly. We named this structure a ""language representation embedding"" as it encodes relationships between representations needed for various NLP tasks. Interestingly, this embedding can predict how well individual feature spaces align with human brain responses to language.",ai
"The Semantic Web's data explosion requires it to be accessible to non-expert users. To achieve this, we developed LD2NL, a framework that translates RDF, OWL, and SPARQL (key Semantic Web languages) into natural language. Our approach is bottom-up, focusing on the smallest units of meaning first. We tested LD2NL with 86 people in an open survey, and the results indicate that our method is effective.",ai
"We present a neural network for natural language inference, inspired by human thought processes. It combines LSTM, attention, and modular neural networks. Each component mirrors a specific human task in this process. The model is fully differentiable, allowing training via stochastic gradient descent.",ai
"Medical entity recognition in text is a crucial task in healthcare, used for tasks like coding medical procedures and analyzing electronic health records. However, it's complex and time-consuming, often requiring human experts. Recent advancements in AI, particularly deep learning methods like neural sequence models, have shown promise in natural language processing. Yet, these models need large amounts of data to learn effectively, which can be a challenge. Fortunately, the C\'epiDc database contains a comprehensive collection of death certificates, providing a rich source of data for training these models.",ai
"Advances in Natural Language Processing (NLP) have transformed how we tackle important societal issues. Large language models now lead in text detection and classification. However, most progress is made in English, neglecting many globally spoken languages. While some research has improved multilingual models, we explore using images with multimodal machine learning. Tests on three tasks (crisis info, fake news, emotion recognition) and five non-English languages show that combining text and image data improves detection.",ai
"Recent advancements in neural text-to-speech (TTS) have yielded models capable of generating high-quality synthetic speech. However, these models typically require substantial training data, making it expensive to create a new voice of desired quality. While multi-speaker modeling can reduce data needs, it's often not feasible for low-resource languages lacking abundant multi-speaker data. In this study, we explored if multilingual multi-speaker modeling could serve as an alternative to monolingual multi-speaker modeling, and how data from foreign languages could best supplement low-resource language data. We discovered that multiling",ai
"Gender-neutral language is crucial for gender equality in inflected languages like German. Though contentious, it's gaining traction in businesses and politics. Tools now help users adopt it by spotting generic masculine language and offering inclusive alternatives. This report outlines these tasks using natural language processing, introduces a benchmark dataset, and presents a model combining an inclusive language database with pre-trained models. Our model achieves high recall (0.89) and precision (0.82).",ai
"""This book explores recent progress in distributed representation learning for Natural Language Processing (NLP). It explains how this method enhances NLP, its role in key NLP topics, and existing challenges.""",ai
"In recent years, natural language processing (NLP) has become widely used. Most advancements focus on single languages. Now, with the rise of social media, there's growing interest in ""code-mixed"" text—text combining multiple languages, often local with global languages like English. Current NLP methods struggle with this. A first step involves identifying the languages used in the text.",ai
"ScispaCy, a new tool for biomedical text processing, leverages the spaCy library. It outperforms existing models under domain shifts, filling a gap in robust, practical, public tools for this critical task. The paper shows two model packages' performance and robustness on various tasks and datasets. Access models and code at https://allenai.github.io/scispacy/.",ai
"Many African languages lack part-of-speech (POS) tagged corpora, crucial for advanced natural language processing (NLP) tasks like machine translation and speech recognition. While parallel texts may exist online, creating a POS tagged corpus from scratch faces initial challenges due to the lack of automatic taggers to assist human annotators.",ai
"Natural language processing (NLP), a data analytics tool, is widely used in AI, linguistics, and translation. With data growth, NLP faces challenges. Hadoop, a big data platform, can help. KOSHIK, an NLP architecture, uses Hadoop and includes NLP components like Stanford CoreNLP and OpenNLP. This study explains how to construct such a system.",ai
"A new method for natural language processing uses a pre-compiler to automatically set up a grammar for generating or analyzing text. It then feeds this primed grammar to a powerful Earley-style processor. This solves issues with empty heads and enables efficient two-way processing, demonstrated with HPSG generation. Tests with a large grammar found certain grammatical constraints.",ai
"Text-to-SQL, a popular field in NLP and databases, converts natural language into SQL queries for querying databases. Key challenges include understanding natural language, translating it into SQL, and bridging the semantic gap. Recent advancements have tackled these issues, but a comprehensive survey is lacking. This work reviews progress on text-to-SQL, discussing datasets, methods, evaluations, and future directions.",ai
"In the process industry, automated systems aid human experts in identifying and fixing equipment issues, enhancing maintenance efficiency, sustainability, and safety. To improve these systems, we focus on refining fault diagnosis methods using data and machine learning models. A key challenge is creating accurate, realistic datasets for training and testing these models, and applying models trained in controlled settings to diverse industrial environments. However, many modern condition monitoring systems now digitize fault descriptions and work orders written by experts, providing valuable, detailed information about fault types and severities. This technical language within industrial datasets can be used to enhance our understanding and prediction of equipment",ai
